Group,Model,Feature,Importance,Importance_SD,Method,Rank
AD,Random Forest,mmse_last,0.34944662027491546,0.04234216200666007,Permutation importance (test RMSE),1
AD,Random Forest,mmse_min,0.10608900691692318,0.0188880346531047,Permutation importance (test RMSE),2
AD,Random Forest,mmse_mean,0.03728877014335415,0.008693920769697923,Permutation importance (test RMSE),3
AD,Random Forest,casi_language_min,0.016401729355458795,0.005284777499856976,Permutation importance (test RMSE),4
AD,Random Forest,casi_total_min,0.011284027291764715,0.005987720552421897,Permutation importance (test RMSE),5
AD,Random Forest,cdr_sob_last,0.007895939535182722,0.0034629300518156983,Permutation importance (test RMSE),6
AD,Random Forest,casi_total_last,0.003751354343470406,0.005361967180924621,Permutation importance (test RMSE),7
AD,Random Forest,cdr_sob_max,0.0036402516312055906,0.0025765558819000702,Permutation importance (test RMSE),8
AD,Random Forest,cdr_community_mean,0.0023448524571955316,0.0009943954965545843,Permutation importance (test RMSE),9
AD,Random Forest,visit_gap_log_std,0.0021887106672681565,0.0008547443379667823,Permutation importance (test RMSE),10
AD,Random Forest,casi_verbal_fluency_std,0.0021842725463648237,0.0009034222630104835,Permutation importance (test RMSE),11
AD,Random Forest,mmse_max,0.0014667933619311596,0.0009202546536648188,Permutation importance (test RMSE),12
AD,Random Forest,cdr_memory_last,0.0012291698526899265,0.0010043080893436542,Permutation importance (test RMSE),13
AD,Random Forest,cdr_memory_mean,0.0010165184306708736,0.001854364990151302,Permutation importance (test RMSE),14
AD,Random Forest,cdr_judgment_mean,0.0009903050033461924,0.001417695998458389,Permutation importance (test RMSE),15
AD,Random Forest,casi_total_std,0.0009724369230018432,0.00033297838428584294,Permutation importance (test RMSE),16
AD,Random Forest,casi_orientation_last,0.0009711987844526731,0.0005528135417406662,Permutation importance (test RMSE),17
AD,Random Forest,casi_abstraction_std,0.000899561047229619,0.00022632491728136547,Permutation importance (test RMSE),18
AD,Random Forest,casi_short_term_memory_std,0.0008383134846323248,0.0002727912345886248,Permutation importance (test RMSE),19
AD,Random Forest,casi_long_term_memory_min,0.000762322272268634,0.0005384573572613743,Permutation importance (test RMSE),20
AD,SVM,history_span_days,0.26361876911292975,0.04573687278123128,Permutation importance (test RMSE),1
AD,SVM,mmse_last,0.004987156551562783,0.0009215996050039844,Permutation importance (test RMSE),2
AD,SVM,mmse_min,0.004574064585963583,0.0008561561009849071,Permutation importance (test RMSE),3
AD,SVM,cdr_memory_last,0.0038374980424157714,0.0007301328876974572,Permutation importance (test RMSE),4
AD,SVM,cdr_orientation_last,0.0037649778534721455,0.0006833887030331273,Permutation importance (test RMSE),5
AD,SVM,cdr_sob_last,0.0036624108539175747,0.0007600019013524246,Permutation importance (test RMSE),6
AD,SVM,cdr_orientation_max,0.0036120007467540126,0.0006409325108122445,Permutation importance (test RMSE),7
AD,SVM,cdr_sob_max,0.003570540840351555,0.0007281670399609514,Permutation importance (test RMSE),8
AD,SVM,mmse_mean,0.0034770168518816645,0.0007077994704656246,Permutation importance (test RMSE),9
AD,SVM,cdr_community_last,0.0033582412517073777,0.0007294915416716337,Permutation importance (test RMSE),10
AD,SVM,casi_total_last,0.0033549072624636965,0.0008628622870915323,Permutation importance (test RMSE),11
AD,SVM,cdr_community_max,0.003347760227641566,0.0007390331289085609,Permutation importance (test RMSE),12
AD,SVM,cdr_memory_max,0.0033055387847842734,0.0007462643698525831,Permutation importance (test RMSE),13
AD,SVM,cdr_home_hobbies_max,0.003152345470867618,0.0007278559534948253,Permutation importance (test RMSE),14
AD,SVM,cdr_judgment_last,0.0031351086391087635,0.0007544265065691272,Permutation importance (test RMSE),15
AD,SVM,cdr_home_hobbies_last,0.0031186707418649597,0.0007463244644347397,Permutation importance (test RMSE),16
AD,SVM,cdr_judgment_max,0.0031080642762668807,0.0007502846989504116,Permutation importance (test RMSE),17
AD,SVM,cdr_global_max,0.003063416105592548,0.0006559724460698392,Permutation importance (test RMSE),18
AD,SVM,casi_total_min,0.003041344210591984,0.0007178534119633992,Permutation importance (test RMSE),19
AD,SVM,cdr_global_last,0.0029679438148193073,0.0006402152085076638,Permutation importance (test RMSE),20
AD,XGBoost,mmse_last,0.5356193041580847,0.0620587009867269,Permutation importance (test RMSE),1
AD,XGBoost,mmse_min,0.02812352608289348,0.0075386749310338425,Permutation importance (test RMSE),2
AD,XGBoost,casi_language_min,0.020705470145620332,0.006030119075458853,Permutation importance (test RMSE),3
AD,XGBoost,casi_drawing_max,0.01907229529541766,0.012542855673309315,Permutation importance (test RMSE),4
AD,XGBoost,mmse_mean,0.011090939535477917,0.00429499743664024,Permutation importance (test RMSE),5
AD,XGBoost,casi_drawing_mean,0.010241732868518557,0.007320870319163674,Permutation importance (test RMSE),6
AD,XGBoost,cdr_sob_last,0.010190472073845765,0.0035322170779903774,Permutation importance (test RMSE),7
AD,XGBoost,cdr_memory_mean,0.00870818349058638,0.004132897050506262,Permutation importance (test RMSE),8
AD,XGBoost,casi_attention_std,0.0064108514039489944,0.0040081448572712,Permutation importance (test RMSE),9
AD,XGBoost,cdr_orientation_last,0.004038854662179081,0.001807903061036042,Permutation importance (test RMSE),10
AD,XGBoost,casi_total_std,0.003881505092875978,0.0010373539616519072,Permutation importance (test RMSE),11
AD,XGBoost,casi_verbal_fluency_std,0.0038110512772705748,0.003826948503176222,Permutation importance (test RMSE),12
AD,XGBoost,casi_mental_manipulation_last,0.0037318271431530077,0.0060624045171280925,Permutation importance (test RMSE),13
AD,XGBoost,triglyceride_std,0.0034164791839351783,0.0012868061032034672,Permutation importance (test RMSE),14
AD,XGBoost,cdr_community_mean,0.002884176032024255,0.0031197553946531458,Permutation importance (test RMSE),15
AD,XGBoost,cdr_global_last,0.0025472396269370897,0.001968490814769319,Permutation importance (test RMSE),16
AD,XGBoost,ldl_mean,0.0019199436184335506,0.0014984437070203792,Permutation importance (test RMSE),17
AD,XGBoost,casi_attention_mean,0.0019063165380296537,0.003315227933009295,Permutation importance (test RMSE),18
AD,XGBoost,cdr_memory_last,0.0018883105474397227,0.0014508720480380787,Permutation importance (test RMSE),19
AD,XGBoost,casi_short_term_memory_mean,0.0018289212071751465,0.003222199476485432,Permutation importance (test RMSE),20
CU,Random Forest,mmse_last,0.008691973662773684,0.009351085401521422,Permutation importance (test RMSE),1
CU,Random Forest,education_last,0.006962008887984694,0.003621408326632453,Permutation importance (test RMSE),2
CU,Random Forest,education_max,0.0059456713389055005,0.0034564487342076187,Permutation importance (test RMSE),3
CU,Random Forest,education_mean,0.005658736422624688,0.004179101373343237,Permutation importance (test RMSE),4
CU,Random Forest,apoe_missing_min,0.0048561233892870145,0.006353877030850541,Permutation importance (test RMSE),5
CU,Random Forest,education_min,0.004585342032371487,0.003573427235273401,Permutation importance (test RMSE),6
CU,Random Forest,mmse_mean,0.0038370677445674515,0.004356071794401779,Permutation importance (test RMSE),7
CU,Random Forest,apoe4_count_min,0.0038060244157469224,0.00521796110653526,Permutation importance (test RMSE),8
CU,Random Forest,apoe_missing_max,0.003402288145526461,0.004100632263676377,Permutation importance (test RMSE),9
