Group,Model,MAE,RMSE,R2
AD,Random Forest,0.2537713346553522,0.3425236166257311,0.9055270018291512
AD,XGBoost,0.2690096605545178,0.35472453051223113,0.8986767523710212
AD,Last-MMSE baseline,0.31077881489150916,0.4309074936268191,0.8504815626031385
AD,SVM,0.6004396865746022,0.7266792047430561,0.5747815297586042
CU,Random Forest,0.5973770375039756,0.6914478658102138,-0.6476194444444381
CU,XGBoost,0.6136584968792462,0.706556015938833,-0.7204070942080254
CU,Last-MMSE baseline,0.6258897948237242,0.8517281291852112,-1.5
CU,SVM,0.9588295950358517,1.2128434210500905,-4.069294254356262
non-AD,Last-MMSE baseline,0.27218835563153143,0.3914572077978724,0.8867553244675532
non-AD,Random Forest,0.34224601064148363,0.43114230830159994,0.8626304457927167
non-AD,XGBoost,0.3147129218467267,0.4392966207056368,0.8573850911615954
non-AD,SVM,0.7603226597835638,0.9888788203511092,0.27733777409705795
